SW,distance,Height_Max,Height_Mean,Height_Min,Height_P25,Height_P50,Height_P75,Height_StdDev
,110,59,18.731350579848378,1,16.008809719436236,19.008789480511936,21.007605578021888,5.176595133419842
,120,62,18.855977523559165,1,16.0074508110085,19.008385662723377,21.00593454142727,5.206085108045329
,130,62,18.99481453025374,1,16.01024542436481,19.011028278506473,22.008082314023117,5.222237133269974
,140,60,19.106519734521516,1,16.009679899527548,19.009259382135596,22.00731069838461,5.265229734601575
,150,60,19.220330950283824,1,17.011323461992678,19.010365213477407,22.00725595446988,5.278479488949775
,160,59,19.307830335699148,1,17.010068676118483,19.00687630326834,22.006489260944196,5.313244121467625
,170,59,19.401331015893756,1,17.01017679031248,19.009276223651444,22.006665468960254,5.321002555920811
,180,60,19.46449253455465,1,17.009865997642848,19.00830505157507,22.007287828788616,5.34921971756531
,190,60,19.534492193746818,1,17.010868942712516,19.009596515618888,22.006575444048856,5.370853371568674
,200,62,19.60715523713818,1,17.00915188910696,19.008535999430595,22.006462425524184,5.373834595730823
,210,62,19.659827603807454,1,17.007923266208266,19.006514726791927,22.006486776101692,5.399131898606261
,220,63,19.722920638434243,1,17.00993697331733,20.009523314578285,22.00690477855001,5.403312899247406
,230,63,19.76952329230637,1,17.006946283959962,20.008471212643215,22.006868396417463,5.423052578291974
,240,62,19.816446923987133,1,17.00729115049849,20.00767479341447,23.00532167678185,5.438706070328054
,250,62,19.870603854714176,1,17.00912088803495,20.008432300351693,23.005035263411976,5.445856210807334
,260,60,19.91642385360685,1,17.006348995398817,20.007395284302973,23.00461580509964,5.461020511838965
,270,70,19.962837177010975,1,17.007303703166556,20.00804937390878,23.005895613309363,5.470303916330741
,280,70,20.001735057299957,1,17.006594633184385,20.00753655554161,23.0051058670585,5.485789853072321
,290,70,20.046257888943178,1,17.00702753994162,20.006550138276562,23.005609426876635,5.493697458829848
,300,65,20.084909054426802,1,17.00683984180393,20.007574455545377,23.004968150289677,5.506099528436172
,400,63,20.43485186574262,1,18.005767015206036,20.00687476907818,23.004241300550735,5.623833988950755
,500,62,20.719162519742685,1,18.00456247103866,20.006001331336083,23.004345729893785,5.749139129089739
,600,60,20.969650835964984,1,18.004423112169174,21.005874253702732,24.003335806811855,5.879236539878745
,700,63,21.189553388084395,1,18.003559088628677,21.0041848351609,24.003590079520396,6.014948024684377
,800,63,21.398191815613327,1,18.003178494730527,21.004838405626256,24.003768191481807,6.148205628192868
,900,64,21.59491147628085,1,19.002415492964335,21.00395952163763,25.003095891080164,6.285409052954815
,1000,63,21.782891718711397,1,19.00220693181362,22.00349535987952,25.003401551466766,6.430987080659942
