2020,Type,Human_Broadleaf,,,,,,,,2020,Type,Nat_Broadleaf,,,,
170,3,0.7637150971230597,0.7227097853083951,0.7773834576485346,0.8163760126460105,0.08048117706362201,,,,170,3,0.7573923129268761,0.7149263242609174,0.7773774703584748,0.8163640326948756,0.08649414141026747
180,3,0.7643306773062984,0.7227145920195609,0.7773819112601948,0.8163793141339295,0.07990832051687195,,,,180,3,0.7576803925886041,0.7148972469231334,0.7773832992868586,0.8163616272436646,0.08610514999090395
190,3,0.7652726572623318,0.7305364030592773,0.7851895884917858,0.824171796784608,0.0794796591278013,,,,190,3,0.7588082244305461,0.7148975202442507,0.7773738201715233,0.8163688881732292,0.08547808011084337
200,3,0.7657014302877039,0.7305301291159021,0.7851878829394937,0.8241736215862024,0.07915880082002995,,,,200,3,0.7587807738403112,0.7149029810898444,0.777382443245098,0.8163674776364701,0.08515590445727193
210,3,0.7666415858773669,0.7305325333424085,0.785184969116168,0.8241793576085472,0.07855407057307805,,,,210,3,0.7597274380629698,0.722704997828636,0.7773946606859821,0.8163570572862039,0.08444023870224446
220,3,0.7669103246822906,0.7305357120918008,0.7851860873479386,0.8241775857454702,0.07835303500841034,,,,220,3,0.7599415228296299,0.7227211909560964,0.7773762226941094,0.8163573497015425,0.08419953571923203
230,3,0.7675918498314779,0.7305351708141679,0.7851868834715268,0.8241764788450502,0.07800495533022357,,,,230,3,0.7603899101819627,0.7227122177009739,0.7773758706323102,0.816369424817994,0.08387951252363378
240,3,0.7680043790809671,0.7305394839541038,0.7851955604755062,0.824175062461666,0.07764472730393446,,,,240,3,0.7609756026313346,0.7227085908255253,0.7773812093360208,0.8163702838499706,0.08353128317160309
250,3,0.7681378982917757,0.7305367810732578,0.7851872638641365,0.8241758188081673,0.07747174345529931,,,,250,3,0.7605363309066371,0.7227073822626605,0.7773835062940087,0.8163639471200013,0.08336272201376846
260,3,0.7687648163037277,0.7305381619468052,0.7851896958593637,0.8241750292277187,0.076975806641086,,,,260,3,0.761520554898564,0.7227271799413922,0.7773808458537872,0.8163504327371414,0.08295193043096925
270,3,0.7690000165085606,0.7305355507547531,0.7851878515670511,0.8241757964199354,0.07680435886992232,,,,270,3,0.7612971779178154,0.7227150281303804,0.7773840217573037,0.8163615255121304,0.08286714082394518
280,3,0.7697119652524236,0.7305366455798706,0.7851915534063933,0.8241742792369762,0.0762958587453442,,,,280,3,0.7623530236520312,0.7227165831811533,0.7773837195537077,0.8163701060532846,0.08239515062951282
290,3,0.7695236355740328,0.7305328570254941,0.7851916931548105,0.824178043955581,0.07627144846399737,,,,290,3,0.7618233034802685,0.7227180127757444,0.7773863616376665,0.8163615810545566,0.08233760128584525
300,3,0.7704609380853721,0.7383468351696212,0.7851921298148697,0.824172435954044,0.07573264575066371,,,,300,3,0.7628119647980208,0.7227258334413702,0.7773757925336308,0.8163694603559555,0.08183764480382233
400,3,0.7729290430794113,0.7383594644928292,0.785198484888542,0.8241720093278522,0.07369952064695885,,,,400,3,0.7642282853148679,0.7227238914844117,0.7773855477609654,0.8163660843772903,0.08028350040798782
500,3,0.7751333491757814,0.7383535836356272,0.792999443254328,0.824165313506639,0.07208887047357997,,,,500,3,0.7652721375526902,0.7305370592402926,0.7773846955429052,0.8163700972523809,0.07911627120641221
600,3,0.7771320728917754,0.7461575515366157,0.7930068634342404,0.8241701353595722,0.07092300224380087,,,,600,3,0.7659264805507762,0.7305298875415999,0.7851907908703168,0.8163712972825421,0.07845672200459218
700,3,0.7787850880889154,0.7461607803833649,0.7930040088903347,0.8241702575912053,0.07005508031822409,,,,700,3,0.7661900583015774,0.7305349745449293,0.7852007401137983,0.8163717874873158,0.07818914569540472
800,3,0.7801841171983099,0.7461625426179838,0.7930078635770258,0.8241742981157703,0.06949874836362813,,,,800,3,0.7663220256797758,0.7305351556338711,0.7851863528141483,0.8163779277805044,0.07808553071440406
900,3,0.7812308900172967,0.7461578689250905,0.7930100560641076,0.8241741024829642,0.0689776183875028,,,,900,3,0.7662720688420465,0.730542283754761,0.7851859657646786,0.8163774334919011,0.07810025541902661
1000,3,0.7824854131137837,0.7539650317898688,0.7930112217386568,0.8319596710927064,0.06870316674883066,,,,1000,3,0.7663499674375966,0.730542519271133,0.7851869491869014,0.8163652443422391,0.07817649132916198
,,,,,,,,,,,,,,,,
2020,Type,Human_Conifer,,,,,,,,2020,Type,Nat_Conifer,,,,
distance,system:index,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,,,,distance,system:index,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev
10,1,0.635764355670729,0.564425290341435,0.6502818540481238,0.7245292553824059,0.11456033737939297,,,,10,1,0.6692979167062403,0.6055476243788075,0.7070864484928278,0.761727221076822,0.12155171664094068
20,1,0.6633370321761972,0.5996528166594697,0.6816075866048161,0.7441919142764712,0.1072405164628362,,,,20,1,0.7075956697886886,0.6659918086869376,0.7402656812560973,0.7792888412391562,0.10660954341040656
30,1,0.6878256543341782,0.630880516067473,0.7090079502189126,0.7597709399064382,0.10012611853858142,,,,30,1,0.7274388992301558,0.699385208378506,0.7539477571509329,0.7929419076138826,0.09766573492989956
40,1,0.710775065286499,0.6660361894011316,0.732460069334349,0.7753867941220899,0.0923052452677408,,,,40,1,0.7438954575236882,0.7207456025283436,0.7676060197081896,0.7949175499901903,0.08646918903535053
50,1,0.7240678747439164,0.6855486748661166,0.7441532668581731,0.7831987053177386,0.08871016261695701,,,,50,1,0.7517715069909056,0.7284534847798125,0.7715064751053154,0.7988324133242318,0.0810526044427688
60,1,0.7340862721463459,0.7011596698120699,0.7558803586267404,0.7910117438859955,0.08400584208148276,,,,60,1,0.7560863628232629,0.7363281943822371,0.77538499017977,0.802716662032791,0.07685774256876272
