2018,HumanEdge,,,,,,type,NaturalEdge,,,,,
Distance,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,,,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,
700,0.788101760735462,0.7423478756952115,0.8048034315270421,0.8671787048442507,0.0952785181919245,,,0.7498063953577558,0.6801994917713733,0.7738371522767291,0.8355525560519675,0.10658557708850411,
800,0.7905840238526505,0.742347201451094,0.8204417302951785,0.8672082269413551,0.09474765576396545,,,0.7521011878651461,0.679818835323402,0.7735233042886493,0.8359274278026478,0.10643791999636128,
900,0.79279212068397,0.7423568327061013,0.8204549701637995,0.8672298028364012,0.09433876319843203,,,0.7540881600878403,0.6954390318169085,0.7735202857195587,0.8359365001963185,0.10632788233160294,
1000,0.7948409853774092,0.7461234721315321,0.8164398973301664,0.8632979444561013,0.09397520621964678,,,0.7558111272250154,0.6954351797100972,0.7735252671826728,0.8359519710732431,0.10624297084195422,
,,,,,,,,,,,,,
2019,HumanEdge,,,,,,,NaturalEdge,,,,,
Distance,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,,,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,
10,0.6953208885381068,0.6289376016363893,0.7070466240003986,0.7695036409844312,0.10593779330889906,,,0.6636804123703979,0.5976903514022935,0.6914291232264642,0.7538834110089584,0.124975387127568,
20,0.7137469896855317,0.6601973062554206,0.7304832631301459,0.7851246928457406,0.09733668999781324,,,0.6920343647931412,0.6367605219156517,0.7148739865007429,0.7695117085350044,0.11088122216676727,
30,0.7209580848931952,0.6680177444780786,0.738297373333286,0.7851194398734116,0.09080856653749626,,,0.7051776548966288,0.6523865835420214,0.7305011209832873,0.7773118093021961,0.10305911420530019,
40,0.7357354563974524,0.6914599766701529,0.7461074193419853,0.7929340138502059,0.08519273557239868,,,0.7188096060747737,0.6758344616586782,0.7383154959531598,0.7851234464819891,0.09740608633809693,
50,0.7433056088945568,0.6992808817840322,0.7539203185675444,0.8007420229147284,0.08218238229653795,,,0.7243750033340024,0.6836455308424334,0.7461144281574894,0.7851264129990001,0.09432699469632962,
60,0.7468293194630067,0.7070977132966219,0.761736479652278,0.8007415279717329,0.08052021455510779,,,0.7271868189847982,0.6836522628252089,0.7461174440323528,0.7851228600972225,0.09145848534415815,
70,0.751654921676337,0.7149109320030853,0.7617445364808882,0.808547503456535,0.07965823980559184,,,0.7320306061282977,0.6914704267235108,0.7539232822784528,0.7929304696227991,0.09051230283230373,
80,0.7535287962091685,0.7149138289944982,0.7695484476687787,0.8085445430034149,0.0781490136551813,,,0.7330857508440359,0.6914673445479445,0.7539228087481654,0.7929259626764169,0.08781317943791365,
90,0.7554525194322523,0.7227271708311978,0.76955283217027,0.8085471332699438,0.07770226200616999,,,0.7346501157553688,0.6992843525301176,0.7539255566535658,0.7929272691639125,0.0876172638075591,
100,0.7584001531253082,0.722728222776942,0.7695560422344615,0.8085521246401054,0.07684310322681945,,,0.7367430201009988,0.6992856380436009,0.7539273930149909,0.7929308160718157,0.08618364356292205,
