distance,NDVI_Max,NDVI_Mean,NDVI_Min,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev
150,1,0.42322109818170583,1.9841269841267657E-4,0.3398677020918437,0.4179571101017182,0.5038791807758387,0.12185481435615014
160,1,0.42422027926162004,2.059477716451167E-4,0.339868073102835,0.41795780293976076,0.5038797359297804,0.12245816860929157
170,1,0.42510922014301394,6.402466522911044E-5,0.33987285273953655,0.4179586190904716,0.5038754980437763,0.12295920609655826
180,0.9999999999999999,0.42602121480463695,3.357736160887262E-4,0.3378955954834598,0.4160122307337316,0.5058524358778607,0.12353495507041158
190,1,0.4268031562957812,5.408498423384311E-6,0.33986993711689867,0.41795778531294836,0.5116900997549625,0.1240384916717256
200,1,0.42758189505782246,1.1953725712241306E-4,0.3398702660661229,0.4179609958611855,0.5116950577229286,0.12447113237319109
210,1,0.4282577312170511,1.8711874555593516E-4,0.3398692638163883,0.41795917988444004,0.5116952816395569,0.12494347983255964
220,1,0.42888024718871604,2.7920482465937813E-4,0.33987142940234366,0.4179609094575478,0.5116922397243946,0.12532049470968998
230,1,0.429526776024628,1.4720796239878903E-5,0.33987240325112855,0.4179624327383519,0.5116932731709153,0.12575539439157243
240,1,0.43007054079227447,5.045990074913076E-7,0.3398711139740581,0.41796245476414934,0.5116931242182475,0.12613520187444474
250,1,0.43063245642350123,5.045990074913076E-7,0.33986719871532706,0.4257718822387613,0.5116979140236665,0.12650194487120972
260,1,0.4312242290171621,1.2415574096144837E-4,0.3398697798833165,0.4257743278672402,0.5116915537004084,0.12688758088111401
270,1,0.43173551627917134,4.466080121477352E-4,0.3398677014483234,0.4257768961770302,0.5195064933839842,0.12721506689109688
280,1,0.4322021543957987,2.495509412437265E-4,0.33987107484294393,0.42577395585621913,0.5195051971759367,0.12756465278337403
290,1,0.4326222051022467,8.194173879924344E-7,0.33987741797793736,0.42576667225674203,0.5195039370622503,0.12785178310637504
300,1,0.4330822056748842,8.194173879924344E-7,0.3398699249482294,0.42577265698237526,0.5195044810444674,0.12818993576850066
400,1,0.43666678035733214,1.7518043584890513E-4,0.3398721534940731,0.42577763476104563,0.5273162518519886,0.13076686524279796
500,0.9999995225703004,0.4397140016715238,0.0013956734124214846,0.3457087735686725,0.4316374128334718,0.5292912630417052,0.13271342250795218
600,1,0.4424082893803751,0.003792412003979072,0.3476830316035846,0.43358797550191225,0.5351327389853636,0.13417590032821577
700,0.9999499623603093,0.44519127089744165,8.042380270178494E-4,0.3496177277534883,0.43945568703572835,0.5371035563224194,0.13540974144494816
800,0.9999999999999999,0.4480399894850352,7.523322299127248E-4,0.3496157423869688,0.44335820147970634,0.5371047608654156,0.13616691737769723
900,1,0.450528948052047,5.706248737248386E-4,0.3554853353287328,0.4492218394769507,0.5429388712132335,0.13673949012553235
1000,1,0.4526507063960674,2.4630541871918464E-4,0.3554841422953483,0.44921502795638757,0.5429461772379525,0.13693800641170445
,,,,,,,
distance,NIRv_Max,NIRv_Mean,NIRv_Min,NIRv_P25,NIRv_P50,NIRv_P75,NIRv_StdDev
10,0.9992285370826721,0.16789314263517688,3.1595655514138343E-7,0.12696364229299736,0.15819691839849742,0.20115483169614715,0.06021716979900218
20,0.9998028874397278,0.1700673742677438,3.1595655514138343E-7,0.12696555093227901,0.16210164157800955,0.20506016473609495,0.060087471966857584
30,0.9995958805084229,0.17268335609717533,2.2840276869828813E-6,0.13087146227358123,0.1660076347506388,0.20896687109274956,0.06049464034441029
40,0.9999979138374329,0.17505383160545912,1.0869577948824372E-7,0.1308723712309414,0.16600781039718,0.2089684160719326,0.06100705111161753
50,0.9999542236328125,0.17703806016758408,5.0028986152028665E-5,0.13477725863880685,0.16991538245225912,0.2128741871178715,0.06144564934715844
60,0.9999805092811584,0.17858533032395668,5.003855039831251E-5,0.1347781090481435,0.1699150498848723,0.2167804338195924,0.0619523523855921
70,0.9995675683021545,0.17982860129476913,5.0024642405333E-5,0.13477837189352387,0.17382000020518312,0.2167805297947839,0.06234623029918767
80,0.9999902844429016,0.18107748733018847,2.5031606128322892E-5,0.1347792560086176,0.17382123515932252,0.21677948285277185,0.06280016169108044
90,0.9996398687362671,0.18228975661977656,2.955266973003745E-5,0.13868371626689452,0.1738213368171981,0.22068741545981677,0.0633440511290713
100,0.9999632835388184,0.18345259240045628,5.003274418413639E-5,0.13868363872608241,0.1738216703667709,0.22068745031626996,0.06389672641201861
